cod;nome;período;valor
26;PE;2014;2.05
35;SP;2014;2.39
15;PA;2014;2.75
24;RN;2014;2.93
42;SC;2014;2.93
31;MG;2014;2.96
28;SE;2014;3.01
32;ES;2014;3.06
21;MA;2014;3.18
13;AM;2014;3.31
17;TO;2014;3.67
33;RJ;2014;3.93
43;RS;2014;4.02
12;AC;2014;5.14
41;PR;2014;5.36
11;RO;2014;5.62
52;GO;2014;5.83
51;MT;2014;5.94
50;MS;2014;6.41
14;RR;2014;25.8
53;DF;2015;2.06
22;PI;2015;2.33
15;PA;2015;2.41
42;SC;2015;2.57
29;BA;2015;2.67
32;ES;2015;2.93
16;AP;2015;3.08
50;MS;2015;3.22
33;RJ;2015;3.69
43;RS;2015;4.52
11;RO;2015;4.56
17;TO;2015;4.61
41;PR;2015;4.76
13;AM;2015;5.25
51;MT;2015;5.48
52;GO;2015;5.76
12;AC;2015;7.18
14;RR;2015;26.9
23;CE;2015;1.51
25;PB;2015;1.77
24;RN;2015;1.24
28;SE;2015;1.86
26;PE;2015;2.04
35;SP;2015;2.3
31;MG;2015;2.9
21;MA;2015;4.2
27;AL;2015;0.222
22;PI;2016;0.787
23;CE;2016;1.02
27;AL;2016;1.32
53;DF;2016;1.74
28;SE;2016;1.84
25;PB;2016;1.92
35;SP;2016;2.02
32;ES;2016;2.19
16;AP;2016;2.31
26;PE;2016;2.44
31;MG;2016;2.67
42;SC;2016;2.69
24;RN;2016;2.79
21;MA;2016;3.31
29;BA;2016;3.35
33;RJ;2016;3.54
52;GO;2016;4.13
41;PR;2016;4.75
51;MT;2016;4.78
12;AC;2016;5.17
13;AM;2016;5.43
50;MS;2016;5.61
17;TO;2016;5.66
11;RO;2016;6.55
14;RR;2016;21.9
43;RS;2016;5.2
15;PA;2016;1.7
22;PI;2017;2.58
25;PB;2017;1.51
21;MA;2017;1.73
35;SP;2017;2.17
23;CE;2017;2.38
15;PA;2017;2.42
16;AP;2017;2.44
24;RN;2017;2.54
31;MG;2017;2.73
32;ES;2017;3.14
26;PE;2017;3.15
33;RJ;2017;3.43
29;BA;2017;3.45
17;TO;2017;3.54
13;AM;2017;3.75
51;MT;2017;3.93
50;MS;2017;4.51
52;GO;2017;4.52
28;SE;2017;4.56
43;RS;2017;5.01
41;PR;2017;5.18
11;RO;2017;7.53
12;AC;2017;10.6
14;RR;2017;16.6
27;AL;2017;0.228
53;DF;2017;1.9
42;SC;2017;2.9
25;PB;2018;1.42
22;PI;2018;1.49
21;MA;2018;1.51
35;SP;2018;1.83
24;RN;2018;2.04
16;AP;2018;2.32
29;BA;2018;3.05
23;CE;2018;3.33
13;AM;2018;3.54
41;PR;2018;3.75
15;PA;2018;3.76
14;RR;2018;32.34
43;RS;2018;4.29
50;MS;2018;4.31
52;GO;2018;4.75
11;RO;2018;4.98
17;TO;2018;5.29
12;AC;2018;5.93
32;ES;2018;2.56
26;PE;2018;2.75
51;MT;2018;2.9
53;DF;2018;2.9
33;RJ;2018;3.03
28;SE;2018;2.41
31;MG;2018;2.4
42;SC;2018;2.53
27;AL;2018;0.65
13;AM;2019;6.64
27;AL;2019;0
16;AP;2019;1.08
28;SE;2019;1.2
24;RN;2019;1.47
23;CE;2019;1.52
51;MT;2019;5.24
11;RO;2019;4.05
41;PR;2019;3.79
43;RS;2019;3.78
22;PI;2019;3.31
52;GO;2019;3.15
42;SC;2019;2.88
21;MA;2019;2.73
53;DF;2019;2.72
26;PE;2019;2.71
15;PA;2019;2.4
31;MG;2019;2.03
14;RR;2019;19.4
33;RJ;2019;1.99
29;BA;2019;1.94
35;SP;2019;1.71
17;TO;2019;1.7
25;PB;2019;1.58
32;ES;2019;1.57
12;AC;2019;5.38
50;MS;2019;5.74
33;RJ;2020;2.01
23;CE;2020;1.6
22;PI;2020;3.12
