cod;nome;período;valor
33;RJ;2021;28.17
32;ES;2021;17.58
31;MG;2021;13.97
29;BA;2021;25.7
28;SE;2021;17.83
27;AL;2021;2.57
26;PE;2021;35.6
25;PB;2021;11.78
24;RN;2021;14.43
23;CE;2021;19.45
22;PI;2021;20.07
21;MA;2021;34.3
17;TO;2021;34.92
16;AP;2021;15.8
11;RO;2021;41.94
12;AC;2021;24.46
13;AM;2021;39.63
14;RR;2021;77.63
53;DF;2021;12.08
52;GO;2021;29.51
51;MT;2021;34.87
50;MS;2021;22.57
15;PA;2021;20.52
